Date,Open,High,Low,Close,Adj Close,Volume,Group
14/05/2013,16.208929,16.257143,15.791072,15.852143,13.855119,447118000,4
15/05/2013,15.684286,15.75,15.084286,15.316072,13.38658,741613600,4
16/05/2013,15.115714,15.6375,14.960714,15.520715,13.565442,603204000,4
17/05/2013,15.680357,15.7175,15.393214,15.473572,13.52424,427904400,4
20/05/2013,15.425357,15.921429,15.360714,15.818929,13.826087,451578400,4
21/05/2013,15.648214,15.91,15.507143,15.702143,13.724014,456022000,4
22/05/2013,15.858929,16.012501,15.650714,15.7625,13.77677,443038400,4
23/05/2013,15.569643,15.934286,15.563929,15.790714,13.801429,353021200,4
24/05/2013,15.744643,15.916429,15.727143,15.898214,13.895384,276166800,4
28/05/2013,16.067858,16.111071,15.744643,15.765715,13.779578,386145200,4
29/05/2013,15.714286,15.982142,15.692857,15.891071,13.889143,330576400,4
30/05/2013,15.916072,16.232143,15.875357,16.127857,14.0961,353519600,4
31/05/2013,16.160715,16.325001,16.053572,16.061787,14.038351,384302800,4
03/06/2013,16.0975,16.155714,15.802857,16.097143,14.069252,372352400,4
04/06/2013,16.186428,16.229643,15.978214,16.046785,14.025239,292728800,4
05/06/2013,15.916072,16.097143,15.846786,15.896786,13.894137,290589600,4
06/06/2013,15.909643,15.964286,15.501785,15.659286,13.686557,416934000,4
07/06/2013,15.589286,15.83,15.456072,15.778929,13.791124,404535600,4
10/06/2013,15.883214,16.038572,15.6,15.674643,13.699981,450153200,4
11/06/2013,15.562143,15.812857,15.475715,15.628572,13.65971,286112400,4
12/06/2013,15.696428,15.758928,15.410714,15.435357,13.49084,265227200,4
13/06/2013,15.446428,15.612143,15.3125,15.57,13.60852,285832400,4
14/06/2013,15.55,15.581786,15.303572,15.358929,13.424037,271866000,4
17/06/2013,15.408571,15.560715,15.37,15.428572,13.484907,259414400,4
18/06/2013,15.412857,15.532143,15.364643,15.420357,13.477724,195025600,4
19/06/2013,15.407143,15.416429,15.107142,15.107142,13.203971,310940000,4
20/06/2013,14.975,15.213572,14.8275,14.887143,13.011685,357310800,4
21/06/2013,14.946072,15,14.575,14.767858,12.90743,481118400,4
24/06/2013,14.55,14.595,14.216071,14.376429,12.56531,480746000,4
25/06/2013,14.489285,14.563929,14.243929,14.379642,12.56812,314162800,4
26/06/2013,14.425,14.456786,14.130714,14.216785,12.425779,367724000,4
27/06/2013,14.258928,14.335357,14.055,14.063571,12.291865,337246000,4
28/06/2013,13.977143,14.295357,13.888214,14.161786,12.377708,578516400,4
01/07/2013,14.381785,14.723928,14.329286,14.615,12.773828,391053600,4
02/07/2013,14.641429,15.058214,14.623929,14.946072,13.06319,469865200,4
03/07/2013,15.030714,15.106428,14.908929,15.028571,13.135298,240928800,4
05/07/2013,15.013928,15.1175,14.833928,14.907857,13.029791,274024800,4
08/07/2013,15.003928,15.035714,14.666072,14.823215,12.955813,298138400,4
09/07/2013,14.771428,15.125,14.656428,15.083928,13.18368,352584400,4
10/07/2013,14.985714,15.171429,14.9375,15.026072,13.133115,281405600,4
11/07/2013,15.105357,15.294642,15.041785,15.260357,13.337884,326292400,4
12/07/2013,15.273214,15.349643,15.121786,15.2325,13.313536,279563200,4
15/07/2013,15.178928,15.409286,15.171429,15.265715,13.342566,241917200,4
16/07/2013,15.232857,15.3825,15.148929,15.364285,13.428718,216538000,4
17/07/2013,15.346429,15.436429,15.293571,15.368215,13.432151,198990400,4
18/07/2013,15.477858,15.531072,15.378928,15.42,13.477417,218878800,4
19/07/2013,15.467857,15.499286,15.155357,15.176785,13.264842,268721600,4
22/07/2013,15.337857,15.348214,15.195357,15.225357,13.307293,207796400,4
23/07/2013,15.214286,15.248571,14.953929,14.963928,13.078797,369395600,4
24/07/2013,15.676071,15.878214,15.545,15.7325,13.750548,591936800,4
25/07/2013,15.739285,15.764286,15.564643,15.660714,13.687803,229493600,4
26/07/2013,15.546429,15.751429,15.512143,15.749643,13.765532,200152400,4
29/07/2013,15.742857,16.071072,15.721429,15.9925,13.977794,248057600,4
30/07/2013,16.07,16.326786,16.043928,16.190001,14.150414,309422400,4
31/07/2013,16.249643,16.33357,16.051071,16.161785,14.125751,322957600,4
01/08/2013,16.276785,16.314285,16.187857,16.309999,14.255296,206250800,4
02/08/2013,16.3575,16.530357,16.309286,16.519285,14.438215,274783600,4
05/08/2013,16.596071,16.809643,16.505358,16.766071,14.653909,318855600,4
06/08/2013,16.715,16.853214,16.506071,16.616072,14.522807,334857600,4
07/08/2013,16.564285,16.678572,16.491785,16.606428,14.514382,298858000,4
08/08/2013,16.566429,16.575001,16.355356,16.464643,14.485475,255777200,4
09/08/2013,16.379999,16.445,16.201786,16.230356,14.279349,266865200,4
12/08/2013,16.316429,16.737499,16.308214,16.691429,14.684996,364434000,4
13/08/2013,16.819286,17.66643,16.716072,17.484642,15.382864,881941200,4
14/08/2013,17.781429,18.008928,17.621429,17.803572,15.663451,756372400,4
15/08/2013,17.729286,17.942858,17.467142,17.782499,15.644916,490294000,4
16/08/2013,17.862499,17.962143,17.816429,17.940357,15.783797,362306000,4
19/08/2013,18.012142,18.347857,18,18.133572,15.953788,510518400,4
20/08/2013,18.203928,18.234642,17.886429,17.895357,15.744212,358688400,4
21/08/2013,17.985357,18.112499,17.9,17.941429,15.784739,335879600,4
22/08/2013,18.035,18.056786,17.792856,17.962856,15.803595,244207600,4
23/08/2013,17.973928,17.976786,17.833929,17.893572,15.742637,222731600,4
26/08/2013,17.883928,18.221428,17.875,17.963215,15.803907,330965600,4
27/08/2013,17.785715,17.946785,17.367857,17.449642,15.352069,424188800,4
28/08/2013,17.357143,17.707144,17.357143,17.532143,15.424653,307608000,4
29/08/2013,17.558929,17.732143,17.540358,17.560715,15.44979,239657600,4
30/08/2013,17.571428,17.605356,17.375,17.400715,15.309026,272297200,4
03/09/2013,17.610714,17.878571,17.405357,17.449286,15.351755,331928800,4
04/09/2013,17.841429,17.937143,17.724285,17.810358,15.66942,345032800,4
05/09/2013,17.866072,17.881428,17.629999,17.688213,15.56196,236367600,4
06/09/2013,17.801428,17.834999,17.498215,17.793571,15.654656,359525600,4
09/09/2013,18.035715,18.139999,17.981428,18.077499,15.90445,340687200,4
10/09/2013,18.078571,18.123215,17.482143,17.665714,15.542163,743195600,4
11/09/2013,16.678928,16.9175,16.600357,16.703928,14.695996,898696400,4
12/09/2013,16.732143,16.978571,16.643215,16.881786,14.852473,404051200,4
13/09/2013,16.762142,16.851072,16.596428,16.603571,14.6077,298835600,4
16/09/2013,16.464285,16.486071,15.972143,16.075714,14.143297,543706800,4
17/09/2013,15.998571,16.418215,15.982142,16.261429,14.306689,399380800,4
18/09/2013,16.542143,16.655357,16.452143,16.595715,14.600793,456862000,4
19/09/2013,16.810715,16.993929,16.758928,16.867857,14.840221,404541200,4
20/09/2013,17.071428,17.091072,16.642857,16.693214,14.686569,699302800,4
23/09/2013,17.717857,17.746786,17.235714,17.522858,15.416489,762106800,4
24/09/2013,17.674286,17.695356,17.422142,17.467857,15.368096,364344400,4
25/09/2013,17.471428,17.487143,17.193928,17.1975,15.130235,316957200,4
26/09/2013,17.357143,17.448572,17.282143,17.365,15.2776,237221600,4
27/09/2013,17.277857,17.309643,17.168571,17.241072,15.168569,228040400,4
30/09/2013,17.044643,17.202143,16.943214,17.026785,14.980044,260156400,4
01/10/2013,17.0875,17.469286,17.084999,17.427143,15.332277,353883600,4
02/10/2013,17.343929,17.564285,17.276785,17.484285,15.382545,289184000,4
03/10/2013,17.518215,17.583929,17.169285,17.264643,15.18931,322753200,4
04/10/2013,17.280714,17.307142,17.092857,17.251072,15.177369,258868400,4
07/10/2013,17.377142,17.594643,17.333929,17.419643,15.325678,312292400,4
08/10/2013,17.497858,17.522858,17.162144,17.176428,15.111699,290917200,4
09/10/2013,17.308571,17.421072,17.081429,17.378214,15.289228,301725200,4
10/10/2013,17.547142,17.584999,17.394285,17.487143,15.385061,278602800,4
11/10/2013,17.3925,17.637142,17.327143,17.600357,15.484663,267738800,4
14/10/2013,17.493929,17.770714,17.476786,17.715714,15.586156,261898000,4
15/10/2013,17.768215,17.928572,17.697144,17.809999,15.669108,320073600,4
16/10/2013,17.885357,17.9475,17.829643,17.896786,15.745461,251101200,4
17/10/2013,17.856428,18.027857,17.845715,18.017857,15.851979,253593200,4
18/10/2013,18.071072,18.187857,18.061071,18.174643,15.989922,290542000,4
21/10/2013,18.2775,18.725,18.268572,18.620001,16.381744,398106800,4
22/10/2013,18.800358,18.873215,18.143929,18.566786,16.334923,534063600,4
